protein,condition,rep_num,intensity
k7ac,WT,1,119.6229
k7ac,8KR,1,62.2528
k7ac,bg,1,50.7965
k7ac,WT,2,126.0039
k7ac,8KR,2,99.9609
k7ac,bg,2,74.7432
k7ac,WT,3,114.8705
k7ac,8KR,3,62.2959
k7ac,bg,3,53.8089
k7ac,WT,4,105.4076
k7ac,8KR,4,87.9104
k7ac,bg,4,86.827
RPRD1B,WT,1,176.077
RPRD1B,WT,2,198.024
RPRD1B,WT,3,149.901
RPRD1B,WT,4,222.231
RPRD1B,8KR,1,102.176
RPRD1B,8KR,2,86.634
RPRD1B,8KR,3,103.335
RPRD1B,8KR,4,64.11
RPRD1B,bg,1,102.6558
RPRD1B,bg,2,59.0945
RPRD1B,bg,3,57.3765
RPRD1B,bg,4,54.0605
RPAP3,WT,1,166.112
RPAP3,8KR,1,127.148
RPAP3,bg,1,56.287
RPAP3,WT,2,180.246
RPAP3,8KR,2,84.895
RPAP3,bg,2,58.314
RPAP2,WT,1,130.21
RPAP2,8KR,1,78.962
RPAP2,bg,1,29.70125
RPAP2,WT,2,124.686
RPAP2,8KR,2,117.356
RPAP2,bg,2,104.32475
HSP90,WT,1,200.607
HSP90,8KR,1,227.053
HSP90,bg,1,33.253